"p, q, n, Phi, e, k, d",n,totient,e,# holes,Transparency Percentage,
"[3, 137, 411, 272, 65537, 34937, 145]",411,272,65537,24,5.85,
"[13, 29, 377, 336, 5, 4, 269]",377,336,5,22,5.85,
"[13, 29, 377, 336, 17, 13, 257]",377,336,17,22,5.85,
"[13, 29, 377, 336, 257, 13, 17]",377,336,257,22,5.85,
"[13, 29, 377, 336, 65537, 50128, 257]",377,336,65537,22,5.85,
"[29, 97, 2813, 2688, 257, 98, 1025]",2813,2688,257,162,5.76,
"[29, 97, 2813, 2688, 65537, 6266, 257]",2813,2688,65537,162,5.76,
"[29, 193, 5597, 5376, 257, 49, 1025]",5597,5376,257,322,5.75,
"[29, 193, 5597, 5376, 65537, 3133, 257]",5597,5376,65537,322,5.75,
"[5, 43, 215, 168, 5, 3, 101]",215,168,5,12,5.61,
"[5, 43, 215, 168, 17, 9, 89]",215,168,17,12,5.61,
"[5, 43, 215, 168, 257, 26, 17]",215,168,257,12,5.61,
"[5, 43, 215, 168, 65537, 34719, 89]",215,168,65537,12,5.61,
"[13, 113, 1469, 1344, 17, 16, 1265]",1469,1344,17,82,5.59,
"[13, 113, 1469, 1344, 257, 196, 1025]",1469,1344,257,82,5.59,
"[13, 113, 1469, 1344, 65537, 12532, 257]",1469,1344,65537,82,5.59,
"[13, 449, 5837, 5376, 257, 49, 1025]",5837,5376,257,322,5.52,
"[13, 449, 5837, 5376, 65537, 3133, 257]",5837,5376,65537,322,5.52,
"[3, 73, 219, 144, 5, 1, 29]",219,144,5,12,5.5,
"[3, 37, 111, 72, 3, 1, 120]",111,72,3,6,5.45,
"[11, 41, 451, 400, 17, 15, 353]",451,400,17,24,5.33,
"[11, 41, 451, 400, 257, 124, 193]",451,400,257,24,5.33,
"[11, 41, 451, 400, 65537, 44729, 273]",451,400,65537,24,5.33,
"[5, 23, 115, 88, 3, 2, 59]",115,88,3,6,5.26,
