"p, q, n, Phi, e, k, d",n,totient,e,# holes,Transparency Percentage,
"[43, 61, 2623, 2520, 17, 4, 593]",2623,2520,17,12,0.46,
"[43, 61, 2623, 2520, 257, 36, 353]",2623,2520,257,12,0.46,
"[43, 61, 2623, 2520, 65537, 15422, 593]",2623,2520,65537,12,0.46,
"[43, 241, 10363, 10080, 17, 1, 593]",10363,10080,17,48,0.46,
"[43, 241, 10363, 10080, 257, 9, 353]",10363,10080,257,48,0.46,
"[43, 241, 10363, 10080, 65537, 36624, 5633]",10363,10080,65537,48,0.46,
"[53, 337, 17861, 17472, 17, 13, 13361]",17861,17472,17,82,0.46,
"[53, 337, 17861, 17472, 257, 193, 13121]",17861,17472,257,82,0.46,
"[53, 337, 17861, 17472, 65537, 964, 257]",17861,17472,65537,82,0.46,
"[59, 89, 5251, 5104, 17, 4, 1201]",5251,5104,17,24,0.46,
"[59, 89, 5251, 5104, 257, 50, 993]",5251,5104,257,24,0.46,
"[59, 89, 5251, 5104, 65537, 14394, 1121]",5251,5104,65537,24,0.46,
"[59, 353, 20827, 20416, 257, 141, 11201]",20827,20416,257,96,0.46,
"[59, 353, 20827, 20416, 65537, 36367, 11329]",20827,20416,65537,96,0.46,
"[71, 73, 5183, 5040, 17, 2, 593]",5183,5040,17,24,0.46,
"[71, 73, 5183, 5040, 257, 18, 353]",5183,5040,257,24,0.46,
"[71, 73, 5183, 5040, 65537, 7711, 593]",5183,5040,65537,24,0.46,
"[73, 233, 17009, 16704, 17, 5, 4913]",17009,16704,17,78,0.46,
"[73, 233, 17009, 16704, 257, 1, 65]",17009,16704,257,78,0.46,
"[73, 233, 17009, 16704, 65537, 15321, 3905]",17009,16704,65537,78,0.46,
"[73, 449, 32777, 32256, 17, 12, 22769]",32777,32256,17,150,0.46,
"[97, 107, 10379, 10176, 17, 5, 2993]",10379,10176,17,48,0.46,
"[113, 157, 17741, 17472, 17, 13, 13361]",17741,17472,17,82,0.46,
"[113, 157, 17741, 17472, 257, 193, 13121]",17741,17472,257,82,0.46,
"[113, 157, 17741, 17472, 65537, 964, 257]",17741,17472,65537,82,0.46,
"[157, 449, 70493, 69888, 257, 241, 65537]",70493,69888,257,322,0.46,
"[157, 449, 70493, 69888, 65537, 241, 257]",70493,69888,65537,322,0.46,
"[241, 257, 61937, 61440, 17, 8, 28913]",61937,61440,17,286,0.46,
"[281, 449, 126169, 125440, 257, 182, 88833]",126169,125440,257,582,0.46,
"[281, 449, 126169, 125440, 65537, 2943, 5633]",126169,125440,65537,582,0.46,
"[3, 443, 1329, 884, 3, 1, 295]",1329,884,3,6,0.45,
"[3, 443, 1329, 884, 5, 1, 177]",1329,884,5,6,0.45,
"[3, 443, 1329, 884, 17, 1, 1352]",1329,884,17,6,0.45,
"[3, 443, 1329, 884, 257, 141, 485]",1329,884,257,6,0.45,
"[3, 443, 1329, 884, 65537, 46039, 621]",1329,884,65537,6,0.45,
"[3, 449, 1347, 896, 3, 1, 299]",1347,896,3,6,0.45,
"[5, 269, 1345, 1072, 3, 2, 715]",1345,1072,3,6,0.45,
"[7, 191, 1337, 1140, 3, 1, 1520]",1337,1140,3,6,0.45,
"[7, 191, 1337, 1140, 5, 1, 1368]",1337,1140,5,6,0.45,
"[7, 191, 1337, 1140, 17, 16, 1073]",1337,1140,17,6,0.45,
"[7, 191, 1337, 1140, 257, 39, 173]",1337,1140,257,6,0.45,
"[7, 191, 1337, 1140, 65537, 47888, 833]",1337,1140,65537,6,0.45,
"[11, 241, 2651, 2400, 5, 1, 2880]",2651,2400,5,12,0.45,
"[13, 103, 1339, 1224, 3, 1, 1632]",1339,1224,3,6,0.45,
"[13, 373, 4849, 4464, 5, 1, 893]",4849,4464,5,22,0.45,
"[13, 373, 4849, 4464, 17, 5, 1313]",4849,4464,17,22,0.45,
"[13, 373, 4849, 4464, 257, 211, 3665]",4849,4464,257,22,0.45,
"[13, 373, 4849, 4464, 65537, 53102, 3617]",4849,4464,65537,22,0.45,
"[17, 79, 1343, 1248, 3, 1, 1664]",1343,1248,3,6,0.45,
"[19, 71, 1349, 1260, 3, 1, 1680]",1349,1260,3,6,0.45,
"[19, 71, 1349, 1260, 5, 1, 1512]",1349,1260,5,6,0.45,
"[19, 71, 1349, 1260, 17, 8, 593]",1349,1260,17,6,0.45,
"[19, 71, 1349, 1260, 257, 72, 353]",1349,1260,257,6,0.45,
"[19, 71, 1349, 1260, 65537, 30844, 593]",1349,1260,65537,6,0.45,
"[19, 281, 5339, 5040, 17, 2, 593]",5339,5040,17,24,0.45,
"[19, 281, 5339, 5040, 257, 18, 353]",5339,5040,257,24,0.45,
"[19, 281, 5339, 5040, 65537, 7711, 593]",5339,5040,65537,24,0.45,
"[23, 233, 5359, 5104, 17, 4, 1201]",5359,5104,17,24,0.45,
"[23, 233, 5359, 5104, 257, 50, 993]",5359,5104,257,24,0.45,
"[23, 233, 5359, 5104, 65537, 14394, 1121]",5359,5104,65537,24,0.45,
"[31, 43, 1333, 1260, 3, 1, 1680]",1333,1260,3,6,0.45,
"[31, 43, 1333, 1260, 5, 1, 1512]",1333,1260,5,6,0.45,
"[31, 43, 1333, 1260, 17, 8, 593]",1333,1260,17,6,0.45,
"[31, 43, 1333, 1260, 257, 72, 353]",1333,1260,257,6,0.45,
"[31, 43, 1333, 1260, 65537, 30844, 593]",1333,1260,65537,6,0.45,
"[41, 131, 5371, 5200, 17, 9, 2753]",5371,5200,17,24,0.45,
"[41, 131, 5371, 5200, 257, 227, 4593]",5371,5200,257,24,0.45,
"[41, 131, 5371, 5200, 65537, 8482, 673]",5371,5200,65537,24,0.45,
"[41, 229, 9389, 9120, 17, 2, 1073]",9389,9120,17,42,0.45,
"[41, 229, 9389, 9120, 257, 37, 1313]",9389,9120,257,42,0.45,
"[41, 229, 9389, 9120, 65537, 5986, 833]",9389,9120,65537,42,0.45,
"[97, 373, 36181, 35712, 257, 187, 25985]",36181,35712,257,162,0.45,
"[97, 373, 36181, 35712, 65537, 23022, 12545]",36181,35712,65537,162,0.45,
"[101, 353, 35653, 35200, 257, 200, 27393]",35653,35200,257,162,0.45,
"[101, 353, 35653, 35200, 65537, 35511, 19073]",35653,35200,65537,162,0.45,
"[137, 241, 33017, 32640, 17, 1, 34560]",33017,32640,17,150,0.45,
"[137, 241, 33017, 32640, 257, 256, 32513]",33017,32640,257,150,0.45,
"[137, 241, 33017, 32640, 65537, 65282, 32513]",33017,32640,65537,150,0.45,
"[193, 223, 43039, 42624, 257, 115, 19073]",43039,42624,257,192,0.45,
"[193, 223, 43039, 42624, 65537, 1576, 1025]",43039,42624,65537,192,0.45,
"[193, 373, 71989, 71424, 257, 222, 61697]",71989,71424,257,322,0.45,
"[193, 373, 71989, 71424, 65537, 11511, 12545]",71989,71424,65537,322,0.45,
"[3, 457, 1371, 912, 3, 1, 1520]",1371,912,3,6,0.44,
"[5, 271, 1355, 1080, 3, 1, 1440]",1355,1080,3,6,0.44,
"[7, 193, 1351, 1152, 3, 1, 1536]",1351,1152,3,6,0.44,
"[7, 197, 1379, 1176, 3, 1, 1568]",1379,1176,3,6,0.44,
"[7, 389, 2723, 2328, 5, 3, 1397]",2723,2328,5,12,0.44,
"[7, 389, 2723, 2328, 17, 1, 137]",2723,2328,17,12,0.44,
"[7, 389, 2723, 2328, 257, 137, 1241]",2723,2328,257,12,0.44,
"[7, 389, 2723, 2328, 65537, 14667, 521]",2723,2328,65537,12,0.44,
"[13, 211, 2743, 2520, 5, 1, 3024]",2743,2520,5,12,0.44,
"[13, 211, 2743, 2520, 17, 4, 593]",2743,2520,17,12,0.44,
"[13, 211, 2743, 2520, 257, 36, 353]",2743,2520,257,12,0.44,
"[13, 211, 2743, 2520, 65537, 15422, 593]",2743,2520,65537,12,0.44,
"[13, 389, 5057, 4656, 5, 4, 3725]",5057,4656,5,22,0.44,
"[13, 389, 5057, 4656, 17, 9, 2465]",5057,4656,17,22,0.44,
"[13, 389, 5057, 4656, 257, 197, 3569]",5057,4656,257,22,0.44,
"[13, 389, 5057, 4656, 65537, 40102, 2849]",5057,4656,65537,22,0.44,
"[17, 293, 4981, 4672, 5, 2, 1869]",4981,4672,5,22,0.44,
"[23, 59, 1357, 1276, 3, 2, 851]",1357,1276,3,6,0.44,
"[23, 59, 1357, 1276, 5, 4, 1021]",1357,1276,5,6,0.44,
"[23, 59, 1357, 1276, 17, 16, 1201]",1357,1276,17,6,0.44,
"[23, 59, 1357, 1276, 257, 200, 993]",1357,1276,257,6,0.44,
"[23, 59, 1357, 1276, 65537, 57576, 1121]",1357,1276,65537,6,0.44,
"[29, 47, 1363, 1288, 3, 2, 859]",1363,1288,3,6,0.44,
"[29, 173, 5017, 4816, 5, 4, 3853]",5017,4816,5,22,0.44,
"[29, 173, 5017, 4816, 17, 10, 2833]",5017,4816,17,22,0.44,
"[29, 173, 5017, 4816, 257, 234, 4385]",5017,4816,257,22,0.44,
"[29, 173, 5017, 4816, 65537, 12642, 929]",5017,4816,65537,22,0.44,
"[31, 89, 2759, 2640, 5, 1, 3168]",2759,2640,5,12,0.44,
"[31, 353, 10943, 10560, 17, 11, 6833]",10943,10560,17,48,0.44,
"[41, 67, 2747, 2640, 5, 1, 3168]",2747,2640,5,12,0.44,
"[53, 353, 18709, 18304, 17, 7, 7537]",18709,18304,17,82,0.44,
"[97, 223, 21631, 21312, 257, 230, 19073]",21631,21312,257,96,0.44,
"[97, 223, 21631, 21312, 65537, 3152, 1025]",21631,21312,65537,96,0.44,
"[97, 227, 22019, 21696, 257, 69, 5825]",22019,21696,257,96,0.44,
"[97, 227, 22019, 21696, 65537, 7736, 2561]",22019,21696,65537,96,0.44,
"[193, 227, 43811, 43392, 257, 163, 27521]",43811,43392,257,192,0.44,
"[193, 227, 43811, 43392, 65537, 3868, 2561]",43811,43392,65537,192,0.44,
"[193, 337, 65041, 64512, 17, 6, 22769]",65041,64512,17,286,0.44,
"[3, 461, 1383, 920, 3, 1, 307]",1383,920,3,6,0.43,
"[3, 463, 1389, 924, 3, 1, 1540]",1389,924,3,6,0.43,
"[3, 463, 1389, 924, 5, 1, 185]",1389,924,5,6,0.43,
"[3, 463, 1389, 924, 17, 14, 761]",1389,924,17,6,0.43,
"[3, 463, 1389, 924, 257, 215, 773]",1389,924,257,6,0.43,
"[3, 463, 1389, 924, 65537, 42060, 593]",1389,924,65537,6,0.43,
"[3, 467, 1401, 932, 3, 1, 311]",1401,932,3,6,0.43,
"[3, 467, 1401, 932, 5, 2, 373]",1401,932,5,6,0.43,
"[3, 467, 1401, 932, 17, 6, 329]",1401,932,17,6,0.43,
"[3, 467, 1401, 932, 257, 83, 301]",1401,932,257,6,0.43,
"[3, 467, 1401, 932, 65537, 59138, 841]",1401,932,65537,6,0.43,
"[5, 277, 1385, 1104, 3, 1, 1472]",1385,1104,3,6,0.43,
"[5, 281, 1405, 1120, 3, 2, 747]",1405,1120,3,6,0.43,
"[7, 199, 1393, 1188, 3, 1, 1584]",1393,1188,3,6,0.43,
"[7, 199, 1393, 1188, 5, 3, 713]",1393,1188,5,6,0.43,
"[7, 199, 1393, 1188, 17, 9, 629]",1393,1188,17,6,0.43,
"[7, 199, 1393, 1188, 257, 53, 245]",1393,1188,257,6,0.43,
"[7, 199, 1393, 1188, 65537, 54559, 989]",1393,1188,65537,6,0.43,
"[7, 397, 2779, 2376, 5, 4, 1901]",2779,2376,5,12,0.43,
"[7, 397, 2779, 2376, 17, 13, 1817]",2779,2376,17,12,0.43,
"[7, 397, 2779, 2376, 257, 155, 1433]",2779,2376,257,12,0.43,
"[7, 397, 2779, 2376, 65537, 60048, 2177]",2779,2376,65537,12,0.43,
"[7, 401, 2807, 2400, 5, 1, 2880]",2807,2400,5,12,0.43,
"[11, 127, 1397, 1260, 3, 1, 1680]",1397,1260,3,6,0.43,
"[11, 127, 1397, 1260, 5, 1, 1512]",1397,1260,5,6,0.43,
"[11, 127, 1397, 1260, 17, 8, 593]",1397,1260,17,6,0.43,
"[11, 127, 1397, 1260, 257, 72, 353]",1397,1260,257,6,0.43,
"[11, 127, 1397, 1260, 65537, 30844, 593]",1397,1260,65537,6,0.43,
"[13, 107, 1391, 1272, 3, 1, 1696]",1391,1272,3,6,0.43,
"[13, 397, 5161, 4752, 5, 2, 1901]",5161,4752,5,22,0.43,
"[13, 397, 5161, 4752, 17, 15, 4193]",5161,4752,17,22,0.43,
"[13, 397, 5161, 4752, 257, 206, 3809]",5161,4752,257,22,0.43,
"[13, 397, 5161, 4752, 65537, 30024, 2177]",5161,4752,65537,22,0.43,
"[17, 83, 1411, 1312, 3, 2, 875]",1411,1312,3,6,0.43,
"[17, 163, 2771, 2592, 5, 2, 1037]",2771,2592,5,12,0.43,
"[19, 73, 1387, 1296, 3, 1, 1728]",1387,1296,3,6,0.43,
"[23, 61, 1403, 1320, 3, 1, 1760]",1403,1320,3,6,0.43,
"[37, 137, 5069, 4896, 5, 4, 3917]",5069,4896,5,22,0.43,
"[43, 257, 11051, 10752, 17, 2, 1265]",11051,10752,17,48,0.43,
"[53, 97, 5141, 4992, 5, 2, 1997]",5141,4992,5,22,0.43,
"[89, 109, 9701, 9504, 17, 16, 8945]",9701,9504,17,42,0.43,
"[89, 109, 9701, 9504, 257, 103, 3809]",9701,9504,257,42,0.43,
"[89, 109, 9701, 9504, 65537, 15012, 2177]",9701,9504,65537,42,0.43,
"[97, 197, 19109, 18816, 17, 6, 6641]",19109,18816,17,82,0.43,
"[97, 389, 37733, 37248, 257, 121, 17537]",37733,37248,257,162,0.43,
"[97, 389, 37733, 37248, 65537, 21397, 12161]",37733,37248,65537,162,0.43,
"[137, 257, 35209, 34816, 17, 1, 36864]",35209,34816,17,150,0.43,
"[193, 389, 75077, 74496, 257, 189, 54785]",75077,74496,257,322,0.43,
"[193, 389, 75077, 74496, 65537, 43467, 49409]",75077,74496,65537,322,0.43,
"[3, 479, 1437, 956, 3, 1, 319]",1437,956,3,6,0.42,
"[3, 479, 1437, 956, 5, 4, 765]",1437,956,5,6,0.42,
"[3, 479, 1437, 956, 17, 4, 225]",1437,956,17,6,0.42,
"[3, 479, 1437, 956, 257, 25, 93]",1437,956,257,6,0.42,
"[3, 479, 1437, 956, 65537, 37910, 553]",1437,956,65537,6,0.42,
"[5, 283, 1415, 1128, 3, 1, 1504]",1415,1128,3,6,0.42,
"[7, 409, 2863, 2448, 5, 3, 1469]",2863,2448,5,12,0.42,
"[11, 131, 1441, 1300, 3, 2, 867]",1441,1300,3,6,0.42,
"[11, 131, 1441, 1300, 5, 1, 1560]",1441,1300,5,6,0.42,
"[11, 131, 1441, 1300, 17, 2, 153]",1441,1300,17,6,0.42,
"[11, 131, 1441, 1300, 257, 137, 693]",1441,1300,257,6,0.42,
"[11, 131, 1441, 1300, 65537, 33928, 673]",1441,1300,65537,6,0.42,
"[11, 257, 2827, 2560, 5, 1, 3072]",2827,2560,5,12,0.42,
"[11, 521, 5731, 5200, 17, 9, 2753]",5731,5200,17,24,0.42,
"[11, 521, 5731, 5200, 257, 227, 4593]",5731,5200,257,24,0.42,
"[11, 521, 5731, 5200, 65537, 8482, 673]",5731,5200,65537,24,0.42,
"[13, 109, 1417, 1296, 3, 1, 1728]",1417,1296,3,6,0.42,
"[13, 401, 5213, 4800, 5, 1, 5760]",5213,4800,5,22,0.42,
"[17, 167, 2839, 2656, 5, 4, 2125]",2839,2656,5,12,0.42,
"[19, 149, 2831, 2664, 5, 1, 533]",2831,2664,5,12,0.42,
"[19, 149, 2831, 2664, 17, 7, 1097]",2831,2664,17,12,0.42,
"[19, 149, 2831, 2664, 257, 41, 425]",2831,2664,257,12,0.42,
"[19, 149, 2831, 2664, 65537, 25216, 1025]",2831,2664,65537,12,0.42,
"[29, 181, 5249, 5040, 5, 1, 6048]",5249,5040,5,22,0.42,
"[29, 181, 5249, 5040, 17, 2, 593]",5249,5040,17,22,0.42,
"[29, 181, 5249, 5040, 257, 18, 353]",5249,5040,257,22,0.42,
"[29, 181, 5249, 5040, 65537, 7711, 593]",5249,5040,65537,22,0.42,
"[41, 139, 5699, 5520, 17, 7, 2273]",5699,5520,17,24,0.42,
"[41, 139, 5699, 5520, 257, 117, 2513]",5699,5520,257,24,0.42,
"[41, 139, 5699, 5520, 65537, 49782, 4193]",5699,5520,65537,24,0.42,
"[41, 457, 18737, 18240, 17, 1, 1073]",18737,18240,17,78,0.42,
"[41, 457, 18737, 18240, 257, 147, 10433]",18737,18240,257,78,0.42,
"[41, 457, 18737, 18240, 65537, 2993, 833]",18737,18240,65537,78,0.42,
"[47, 61, 2867, 2760, 5, 1, 3312]",2867,2760,5,12,0.42,
"[47, 61, 2867, 2760, 17, 14, 2273]",2867,2760,17,12,0.42,
"[47, 61, 2867, 2760, 257, 234, 2513]",2867,2760,257,12,0.42,
"[47, 61, 2867, 2760, 65537, 34027, 1433]",2867,2760,65537,12,0.42,
"[47, 241, 11327, 11040, 17, 12, 7793]",11327,11040,17,48,0.42,
"[47, 241, 11327, 11040, 257, 187, 8033]",11327,11040,257,48,0.42,
"[47, 241, 11327, 11040, 65537, 24891, 4193]",11327,11040,65537,48,0.42,
"[59, 193, 11387, 11136, 17, 16, 10481]",11387,11136,17,48,0.42,
"[73, 79, 5767, 5616, 17, 14, 4625]",5767,5616,17,24,0.42,
"[73, 79, 5767, 5616, 257, 115, 2513]",5767,5616,257,24,0.42,
"[73, 79, 5767, 5616, 65537, 10281, 881]",5767,5616,65537,24,0.42,
"[89, 401, 35689, 35200, 17, 5, 10353]",35689,35200,17,150,0.42,
"[89, 401, 35689, 35200, 257, 200, 27393]",35689,35200,257,150,0.42,
"[89, 401, 35689, 35200, 65537, 35511, 19073]",35689,35200,65537,150,0.42,
"[97, 397, 38509, 38016, 257, 90, 13313]",38509,38016,257,162,0.42,
"[97, 397, 38509, 38016, 65537, 3753, 2177]",38509,38016,65537,162,0.42,
"[101, 193, 19493, 19200, 17, 12, 13553]",19493,19200,17,82,0.42,
"[103, 449, 46247, 45696, 257, 36, 6401]",46247,45696,257,192,0.42,
"[103, 449, 46247, 45696, 65537, 46630, 32513]",46247,45696,65537,192,0.42,
"[109, 353, 38477, 38016, 257, 90, 13313]",38477,38016,257,162,0.42,
"[109, 353, 38477, 38016, 65537, 3753, 2177]",38477,38016,65537,162,0.42,
"[113, 173, 19549, 19264, 17, 11, 12465]",19549,19264,17,82,0.42,
"[113, 173, 19549, 19264, 257, 187, 14017]",19549,19264,257,82,0.42,
"[113, 173, 19549, 19264, 65537, 35929, 10561]",19549,19264,65537,82,0.42,
"[113, 313, 35369, 34944, 17, 15, 30833]",35369,34944,17,150,0.42,
"[113, 313, 35369, 34944, 257, 225, 30593]",35369,34944,257,150,0.42,
"[113, 313, 35369, 34944, 65537, 482, 257]",35369,34944,65537,150,0.42,
"[193, 239, 46127, 45696, 257, 36, 6401]",46127,45696,257,192,0.42,
"[193, 239, 46127, 45696, 65537, 46630, 32513]",46127,45696,65537,192,0.42,
"[193, 353, 68129, 67584, 17, 15, 59633]",68129,67584,17,286,0.42,
"[193, 397, 76621, 76032, 257, 45, 13313]",76621,76032,257,322,0.42,
"[193, 397, 76621, 76032, 65537, 34645, 40193]",76621,76032,65537,322,0.42,
"[3, 487, 1461, 972, 3, 1, 1620]",1461,972,3,6,0.41,
"[3, 487, 1461, 972, 5, 2, 389]",1461,972,5,6,0.41,
"[3, 487, 1461, 972, 17, 11, 629]",1461,972,17,6,0.41,
"[3, 487, 1461, 972, 257, 179, 677]",1461,972,257,6,0.41,
"[3, 487, 1461, 972, 65537, 15710, 233]",1461,972,65537,6,0.41,
"[3, 491, 1473, 980, 3, 1, 327]",1473,980,3,6,0.41,
"[3, 491, 1473, 980, 5, 1, 1568]",1473,980,5,6,0.41,
"[3, 491, 1473, 980, 17, 3, 173]",1473,980,17,6,0.41,
"[3, 491, 1473, 980, 257, 166, 633]",1473,980,257,6,0.41,
"[3, 491, 1473, 980, 65537, 49019, 733]",1473,980,65537,6,0.41,
"[5, 293, 1465, 1168, 3, 2, 779]",1465,1168,3,6,0.41,
"[7, 211, 1477, 1260, 3, 1, 1680]",1477,1260,3,6,0.41,
"[7, 211, 1477, 1260, 5, 1, 1512]",1477,1260,5,6,0.41,
"[7, 211, 1477, 1260, 17, 8, 593]",1477,1260,17,6,0.41,
"[7, 211, 1477, 1260, 257, 72, 353]",1477,1260,257,6,0.41,
"[7, 211, 1477, 1260, 65537, 30844, 593]",1477,1260,65537,6,0.41,
"[7, 421, 2947, 2520, 5, 1, 3024]",2947,2520,5,12,0.41,
"[7, 421, 2947, 2520, 17, 4, 593]",2947,2520,17,12,0.41,
"[7, 421, 2947, 2520, 257, 36, 353]",2947,2520,257,12,0.41,
"[7, 421, 2947, 2520, 65537, 15422, 593]",2947,2520,65537,12,0.41,
"[11, 269, 2959, 2680, 5, 1, 3216]",2959,2680,5,12,0.41,
"[11, 269, 2959, 2680, 17, 3, 473]",2959,2680,17,12,0.41,
"[11, 269, 2959, 2680, 257, 7, 73]",2959,2680,257,12,0.41,
"[11, 269, 2959, 2680, 65537, 60475, 2473]",2959,2680,65537,12,0.41,
"[13, 113, 1469, 1344, 3, 1, 1792]",1469,1344,3,6,0.41,
"[13, 223, 2899, 2664, 5, 1, 533]",2899,2664,5,12,0.41,
"[13, 223, 2899, 2664, 17, 7, 1097]",2899,2664,17,12,0.41,
"[13, 223, 2899, 2664, 257, 41, 425]",2899,2664,257,12,0.41,
"[13, 223, 2899, 2664, 65537, 25216, 1025]",2899,2664,65537,12,0.41,
"[13, 227, 2951, 2712, 5, 2, 1085]",2951,2712,5,12,0.41,
"[13, 227, 2951, 2712, 17, 15, 2393]",2951,2712,17,12,0.41,
"[13, 227, 2951, 2712, 257, 38, 401]",2951,2712,257,12,0.41,
"[13, 227, 2951, 2712, 65537, 61888, 2561]",2951,2712,65537,12,0.41,
"[13, 409, 5317, 4896, 5, 4, 3917]",5317,4896,5,22,0.41,
"[17, 313, 5321, 4992, 5, 2, 1997]",5321,4992,5,22,0.41,
"[17, 317, 5389, 5056, 5, 4, 4045]",5389,5056,5,22,0.41,
"[31, 47, 1457, 1380, 3, 1, 1840]",1457,1380,3,6,0.41,
"[31, 47, 1457, 1380, 5, 1, 1656]",1457,1380,5,6,0.41,
"[31, 47, 1457, 1380, 17, 11, 893]",1457,1380,17,6,0.41,
"[31, 47, 1457, 1380, 257, 211, 1133]",1457,1380,257,6,0.41,
"[31, 47, 1457, 1380, 65537, 2517, 53]",1457,1380,65537,6,0.41,
"[37, 79, 2923, 2808, 5, 3, 1685]",2923,2808,5,12,0.41,
"[37, 79, 2923, 2808, 17, 11, 1817]",2923,2808,17,12,0.41,
"[37, 79, 2923, 2808, 257, 230, 2513]",2923,2808,257,12,0.41,
"[37, 79, 2923, 2808, 65537, 20562, 881]",2923,2808,65537,12,0.41,
"[41, 71, 2911, 2800, 5, 1, 3360]",2911,2800,5,12,0.41,
"[43, 137, 5891, 5712, 17, 1, 6048]",5891,5712,17,24,0.41,
"[43, 137, 5891, 5712, 257, 31, 689]",5891,5712,257,24,0.41,
"[43, 137, 5891, 5712, 65537, 45355, 3953]",5891,5712,65537,24,0.41,
"[53, 101, 5353, 5200, 5, 1, 6240]",5353,5200,5,22,0.41,
"[53, 101, 5353, 5200, 17, 9, 2753]",5353,5200,17,22,0.41,
"[53, 101, 5353, 5200, 257, 227, 4593]",5353,5200,257,22,0.41,
"[53, 101, 5353, 5200, 65537, 8482, 673]",5353,5200,65537,22,0.41,
"[61, 89, 5429, 5280, 5, 1, 6336]",5429,5280,5,22,0.41,
"[67, 353, 23651, 23232, 257, 194, 17537]",23651,23232,257,96,0.41,
"[67, 353, 23651, 23232, 65537, 24015, 8513]",23651,23232,65537,96,0.41,
"[97, 239, 23183, 22848, 257, 72, 6401]",23183,22848,257,96,0.41,
"[97, 239, 23183, 22848, 65537, 27723, 9665]",23183,22848,65537,96,0.41,
"[103, 113, 11639, 11424, 17, 1, 12096]",11639,11424,17,48,0.41,
"[103, 113, 11639, 11424, 257, 144, 6401]",11639,11424,257,48,0.41,
"[103, 113, 11639, 11424, 65537, 55446, 9665]",11639,11424,65537,48,0.41,
"[173, 449, 77677, 77056, 257, 111, 33281]",77677,77056,257,322,0.41,
"[173, 449, 77677, 77056, 65537, 58135, 68353]",77677,77056,65537,322,0.41,
"[313, 449, 140537, 139776, 257, 249, 135425]",140537,139776,257,582,0.41,
"[313, 449, 140537, 139776, 65537, 32889, 70145]",140537,139776,65537,582,0.41,
"[3, 499, 1497, 996, 3, 1, 1660]",1497,996,3,6,0.4,
"[3, 499, 1497, 996, 5, 4, 797]",1497,996,5,6,0.4,
"[3, 499, 1497, 996, 17, 5, 293]",1497,996,17,6,0.4,
"[3, 499, 1497, 996, 257, 249, 965]",1497,996,257,6,0.4,
"[3, 499, 1497, 996, 65537, 329, 5]",1497,996,65537,6,0.4,
"[3, 503, 1509, 1004, 3, 1, 335]",1509,1004,3,6,0.4,
"[3, 503, 1509, 1004, 5, 1, 201]",1509,1004,5,6,0.4,
"[3, 503, 1509, 1004, 17, 16, 945]",1509,1004,17,6,0.4,
"[3, 503, 1509, 1004, 257, 75, 293]",1509,1004,257,6,0.4,
"[3, 503, 1509, 1004, 65537, 1893, 29]",1509,1004,65537,6,0.4,
"[7, 433, 3031, 2592, 5, 2, 1037]",3031,2592,5,12,0.4,
"[11, 137, 1507, 1360, 3, 2, 907]",1507,1360,3,6,0.4,
"[13, 421, 5473, 5040, 5, 1, 6048]",5473,5040,5,22,0.4,
"[13, 421, 5473, 5040, 17, 2, 593]",5473,5040,17,22,0.4,
"[13, 421, 5473, 5040, 257, 18, 353]",5473,5040,257,22,0.4,
"[13, 421, 5473, 5040, 65537, 7711, 593]",5473,5040,65537,22,0.4,
"[17, 89, 1513, 1408, 3, 2, 939]",1513,1408,3,6,0.4,
"[19, 79, 1501, 1404, 3, 1, 1872]",1501,1404,3,6,0.4,
"[19, 79, 1501, 1404, 5, 1, 281]",1501,1404,5,6,0.4,
"[19, 79, 1501, 1404, 17, 5, 413]",1501,1404,17,6,0.4,
"[19, 79, 1501, 1404, 257, 203, 1109]",1501,1404,257,6,0.4,
"[19, 79, 1501, 1404, 65537, 41124, 881]",1501,1404,65537,6,0.4,
"[19, 157, 2983, 2808, 5, 3, 1685]",2983,2808,5,12,0.4,
"[19, 157, 2983, 2808, 17, 11, 1817]",2983,2808,17,12,0.4,
"[19, 157, 2983, 2808, 257, 230, 2513]",2983,2808,257,12,0.4,
"[19, 157, 2983, 2808, 65537, 20562, 881]",2983,2808,65537,12,0.4,
"[19, 313, 5947, 5616, 17, 14, 4625]",5947,5616,17,24,0.4,
"[19, 313, 5947, 5616, 257, 115, 2513]",5947,5616,257,24,0.4,
"[19, 313, 5947, 5616, 65537, 10281, 881]",5947,5616,65537,24,0.4,
"[29, 103, 2987, 2856, 5, 4, 2285]",2987,2856,5,12,0.4,
"[29, 103, 2987, 2856, 17, 1, 3024]",2987,2856,17,12,0.4,
"[29, 103, 2987, 2856, 257, 62, 689]",2987,2856,257,12,0.4,
"[29, 103, 2987, 2856, 65537, 25173, 1097]",2987,2856,65537,12,0.4,
"[31, 97, 3007, 2880, 5, 1, 3456]",3007,2880,5,12,0.4,
"[37, 41, 1517, 1440, 3, 1, 1920]",1517,1440,3,6,0.4,
"[37, 149, 5513, 5328, 5, 3, 3197]",5513,5328,5,22,0.4,
"[37, 149, 5513, 5328, 17, 12, 3761]",5513,5328,17,22,0.4,
"[37, 149, 5513, 5328, 257, 149, 3089]",5513,5328,257,22,0.4,
"[37, 149, 5513, 5328, 65537, 12608, 1025]",5513,5328,65537,22,0.4,
"[37, 281, 10397, 10080, 17, 1, 593]",10397,10080,17,42,0.4,
